City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,waycross,31.2136,-82.354,13.03,51,0,0.0,US,1706658639
115,nemuro,43.3236,145.575,-2.55,64,96,1.24,JP,1706658640
116,badr hunayn,23.7829,38.7905,16.56,60,16,1.52,SA,1706658640
117,chui,-33.6971,-53.4616,19.14,82,3,3.22,UY,1706658640
118,polyarnyy,69.1989,33.4478,2.22,80,96,12.23,RU,1706658640
119,benton,36.3334,-94.3335,15.73,49,0,3.09,US,1706658641
120,tazovsky,67.4667,78.7,-20.63,93,90,6.84,RU,1706658641
121,qinzhou,21.95,108.6167,17.76,98,100,2.15,CN,1706658641
122,haiku-pauwela,20.9219,-156.3051,23.98,92,100,6.17,US,1706658641
123,fort-shevchenko,44.5086,50.263,0.78,69,88,9.91,KZ,1706658642
124,conduaga,8.862,117.4893,26.65,77,81,2.05,PH,1706658642
125,magalia,39.8121,-121.5783,16.75,69,70,0.45,US,1706658642
126,westport,41.1415,-73.3579,2.4,71,100,5.14,US,1706658563
127,santyoku,37.4406,129.1708,5.21,48,56,2.51,KR,1706658642
128,laojunmiao,39.8333,97.7333,-7.65,42,100,3.89,CN,1706658642
129,maitum,6.0392,124.4986,27.2,74,100,0.8,PH,1706658643
130,tchintabaraden,15.8969,5.7985,18.26,23,49,5.82,NE,1706658643
131,whitehorse,60.7161,-135.0538,2.23,56,20,8.75,CA,1706658643
132,blatna,49.4249,13.8818,6.01,70,100,1.47,CZ,1706658643
133,portland,45.5234,-122.6762,15.12,75,100,4.02,US,1706658301
134,port lincoln,-34.7333,135.8667,18.62,61,2,5.54,AU,1706658644
135,chalus,36.655,51.4204,6.7,93,100,0.0,IR,1706658644
136,selfoss,63.9331,-20.9971,-2.75,62,100,10.04,IS,1706658644
137,weligama,5.9667,80.4167,24.0,92,14,2.14,LK,1706658644
138,songjianghe,42.1859,127.479,-9.46,93,100,2.68,CN,1706658644
139,daultala,33.1925,73.1413,10.95,71,100,2.86,PK,1706658645
140,hirara,24.8,125.2833,20.92,94,20,3.6,JP,1706658645
141,hamilton,39.1834,-84.5333,2.74,95,100,2.06,US,1706658377
142,invercargill,-46.4,168.35,17.79,73,52,5.81,NZ,1706658421
143,utrik,11.2278,169.8474,26.16,76,100,8.53,MH,1706658645
144,rio gallegos,-51.6226,-69.2181,19.03,52,75,9.77,AR,1706658646
145,ketchikan,55.3422,-131.6461,8.26,87,100,8.23,US,1706658646
146,dali,25.7,100.1833,2.01,74,0,2.02,CN,1706658646
147,la passe,45.5549,-0.8967,9.13,90,57,2.4,FR,1706658646
148,ola,59.5833,151.2833,-27.7,86,18,3.22,RU,1706658646
149,udachny,66.4167,112.4,-22.53,83,99,1.25,RU,1706658646
150,kalabo,-14.97,22.6814,20.84,80,41,1.41,ZM,1706658647
151,longyearbyen,78.2186,15.6401,-5.09,68,75,5.14,SJ,1706658647
152,sikar,27.6167,75.15,14.04,53,60,3.17,IN,1706658647
153,badger,64.8,-147.5333,-25.86,64,75,0.0,US,1706658647
154,ilha de mocambique,-15.0342,40.7358,26.06,80,100,2.3,MZ,1706658647
155,east london,-33.0153,27.9116,22.4,82,100,3.51,ZA,1706658648
156,kinablangan,7.6947,126.5503,25.96,92,100,6.09,PH,1706658648
157,carbonear,47.7332,-53.2148,-4.36,78,87,6.91,CA,1706658648
158,kirensk,57.7853,108.1119,-41.13,100,50,0.89,RU,1706658648
159,sitka,57.0531,-135.33,2.94,70,100,5.14,US,1706658649
160,champerico,14.3,-91.9167,31.3,71,16,4.44,GT,1706658649
161,salgueiro,-8.0742,-39.1192,30.39,32,78,2.52,BR,1706658649
162,timbuktu,16.7735,-3.0074,19.62,14,18,5.25,ML,1706658649
163,vorgashor,67.5833,63.95,-12.91,95,100,4.69,RU,1706658649
164,praia da vitoria,38.7333,-27.0667,16.14,82,75,4.41,PT,1706658650
165,wewak,-3.5534,143.6268,28.86,73,100,1.42,PG,1706658650
166,myitkyina,25.3833,97.4,10.34,76,11,1.42,MM,1706658650
167,qaqortoq,60.7167,-46.0333,-17.38,69,87,5.48,GL,1706658650
168,lorengau,-2.0226,147.2712,29.16,77,93,4.78,PG,1706658650
169,touros,-5.1989,-35.4608,27.37,76,19,6.34,BR,1706658651
170,besancon,47.2488,6.0182,8.44,81,22,1.03,FR,1706658651
171,san-pedro,4.7485,-6.6363,27.0,85,52,3.57,CI,1706658651
172,dunedin,-45.8742,170.5036,24.48,90,32,2.68,NZ,1706658651
173,nieuw amsterdam,5.8833,-55.0833,28.01,78,20,3.09,SR,1706658651
174,at taj,24.2049,23.2857,8.21,48,0,3.51,LY,1706658652
175,akkol',48.7833,53.2,-4.69,95,100,6.22,KZ,1706658652
176,namibe,-15.1961,12.1522,24.97,75,26,2.8,AO,1706658652
177,villa ojo de agua,-29.5,-63.6938,27.68,30,0,4.63,AR,1706658652
178,rakops,-21.0167,24.3333,26.22,50,86,4.35,BW,1706658652
179,aykhal,66.0,111.5,-22.84,99,100,1.39,RU,1706658652
180,independence,39.0911,-94.4155,12.05,43,0,5.14,US,1706658600
181,kabalo,-6.05,26.9167,21.2,97,100,1.05,CD,1706658653
182,tual,-5.6667,132.75,28.75,76,100,6.83,ID,1706658653
183,whangarei,-35.7317,174.3239,28.2,46,7,1.57,NZ,1706658653
184,crane,31.3974,-102.3501,17.75,32,50,2.96,US,1706658653
185,sinabang,2.4803,96.3801,26.35,84,88,1.61,ID,1706658653
186,walvis bay,-22.9575,14.5053,19.53,82,6,1.03,NA,1706658654
187,pandan,14.0453,124.1694,25.87,77,96,7.58,PH,1706658654
188,vadso,70.0744,29.7487,4.09,70,0,13.38,NO,1706658654
189,abong mbang,3.9833,13.1833,20.47,38,89,0.91,CM,1706658654
190,hasaki,35.7333,140.8333,4.22,64,37,3.76,JP,1706658654
191,hawaiian paradise park,19.5933,-154.9731,28.91,74,20,4.12,US,1706658655
192,pisco,-13.7,-76.2167,26.03,69,0,9.77,PE,1706658655
193,port hueneme,34.1478,-119.1951,23.53,56,75,1.54,US,1706658391
194,tuban,-6.8976,112.0649,25.56,86,96,1.94,ID,1706658655
195,ancud,-41.8697,-73.8203,15.24,90,73,2.42,CL,1706658462
196,nchelenge,-9.3451,28.734,21.27,86,89,2.55,ZM,1706658656
197,shenjiamen,29.9576,122.298,10.81,95,91,3.5,CN,1706658656
198,jobat,22.4167,74.5667,18.38,53,96,1.6,IN,1706658656
199,villa gonzalez ortega,22.5,-101.9167,19.22,24,100,3.67,MX,1706658656
200,punta arenas,-53.15,-70.9167,14.06,58,40,12.86,CL,1706658444
201,nova vicosa,-17.8919,-39.3719,26.22,84,87,5.82,BR,1706658657
202,aracati,-4.5617,-37.7697,28.01,76,1,6.45,BR,1706658657
203,pecos,31.4229,-103.4932,21.46,29,63,3.63,US,1706658300
204,geneina,13.45,22.45,17.15,25,5,8.2,SD,1706658657
205,jianshui,23.6363,102.8264,9.52,94,41,1.44,CN,1706658658
206,kotabumi,-4.8333,104.9,24.49,94,99,2.12,ID,1706658658
207,port-vila,-17.7338,168.3219,28.78,70,75,2.57,VU,1706658658
208,ephrata,40.1798,-76.1788,2.65,76,100,3.21,US,1706658658
209,norman gardens,-23.3224,150.5393,27.29,74,100,3.6,AU,1706658658
210,auki,-8.7676,160.7034,26.45,87,100,3.89,SB,1706658658
211,chernyshevskiy,63.0128,112.4714,-31.89,100,96,0.5,RU,1706658659
212,kidal,18.4411,1.4078,18.04,20,0,5.02,ML,1706658659
213,tacana,15.2333,-92.0833,13.22,77,89,1.27,GT,1706658659
214,kharan,28.5833,65.4167,13.77,37,42,3.71,PK,1706658659
215,tannum sands,-23.9504,151.3693,29.3,74,100,3.09,AU,1706658660
216,san antonio de pale,-1.4014,5.6325,28.09,78,96,2.48,GQ,1706658660
217,pestovo,58.5938,35.8024,-5.95,99,99,2.11,RU,1706658660
218,inhambane,-23.865,35.3833,23.8,85,0,4.26,MZ,1706658660
219,afaahiti,-17.75,-149.2833,28.92,83,77,4.29,PF,1706658660
220,ust-nera,64.5667,143.2,-32.24,99,100,1.93,RU,1706658661
221,bay city,43.5945,-83.8889,1.12,93,100,2.06,US,1706658439
222,taro,-8.3862,115.28,22.0,81,75,0.23,ID,1706658661
223,constantia,44.1833,28.65,-3.62,79,46,3.9,RO,1706658615
224,taunggyi,20.7833,97.0333,6.94,42,23,1.67,MM,1706658661
225,saint-francois,46.4154,3.9054,4.25,100,25,0.51,FR,1706658662
226,port hedland,-20.3167,118.5667,29.03,79,40,4.12,AU,1706658610
227,enewetak,11.3474,162.3373,26.53,70,87,8.67,MH,1706658662
228,bolnisi,41.4479,44.5384,-0.23,74,94,1.47,GE,1706658662
229,georgetown,5.4112,100.3354,26.96,75,20,2.57,MY,1706658662
230,lerwick,60.1545,-1.1494,8.0,81,100,15.15,GB,1706658663
231,sabana yegua,18.7167,-71.0167,21.07,87,32,0.71,DO,1706658663
232,stettler,52.3168,-112.7186,3.86,100,77,3.09,CA,1706658663
233,akureyri,65.6835,-18.0878,-2.04,54,75,4.12,IS,1706658663
234,melekeok village,7.4957,134.6367,26.31,94,100,5.66,PW,1706658664
235,bukoba,-1.3317,31.8122,19.51,85,100,2.48,TZ,1706658664
236,naujoji akmene,56.3167,22.9,1.41,90,100,3.16,LT,1706658664
237,lincoln city,44.9582,-124.0179,16.03,82,100,3.04,US,1706658599
238,chonchi,-42.6128,-73.8092,20.56,78,67,1.43,CL,1706658664
239,mossel bay,-34.1831,22.146,18.96,91,100,3.03,ZA,1706658665
240,kununurra,-15.7667,128.7333,25.99,89,75,2.57,AU,1706658665
241,egilsstadir,65.2653,-14.3948,-0.05,64,75,5.14,IS,1706658665
242,ulsteinvik,62.3432,5.8487,6.15,75,88,10.28,NO,1706658665
243,fort st. john,56.2499,-120.8529,8.94,43,20,8.75,CA,1706658608
244,fort bragg,35.139,-79.006,11.01,61,0,0.0,US,1706658666
245,saint-philippe,-21.3585,55.7679,24.77,85,37,3.66,RE,1706658666
246,machico,32.7,-16.7667,19.45,77,20,1.54,PT,1706658666
247,tidjikja,18.5564,-11.4271,18.61,12,0,5.77,MR,1706658667
248,cill airne,52.05,-9.5167,5.18,88,97,2.97,IE,1706658667
249,lubang,13.8584,120.124,25.42,80,50,10.76,PH,1706658667
250,ciudad lazaro cardenas,17.9583,-102.2,26.98,65,100,2.55,MX,1706658667
251,zimovniki,47.1483,42.4633,-2.61,91,97,4.0,RU,1706658667
252,puerto baquerizo moreno,-0.9,-89.6,25.47,85,88,4.72,EC,1706658668
253,tralee,52.2704,-9.7026,4.69,88,98,3.61,IE,1706658664
254,college,64.8569,-147.8028,-25.82,64,75,0.0,US,1706658668
255,kismayo,-0.3582,42.5454,26.51,85,100,6.69,SO,1706658668
256,vila franca do campo,37.7167,-25.4333,15.23,89,40,2.21,PT,1706658668
257,maslyanino,54.3436,84.2111,-23.26,99,91,1.42,RU,1706658668
258,bima,-8.4667,118.7167,27.45,75,87,1.38,ID,1706658669
259,bechar,31.6167,-2.2167,12.18,54,0,1.03,DZ,1706658669
260,kaoma,-14.7833,24.8,18.73,91,14,2.08,ZM,1706658669
261,ghat,24.9647,10.1728,9.74,46,0,2.41,LY,1706658669
262,igarka,67.4667,86.5833,-22.6,81,88,6.61,RU,1706658669
263,novoagansk,61.9449,76.6625,-23.34,98,73,3.98,RU,1706658670
264,vilhena,-12.7406,-60.1458,24.12,94,40,2.57,BR,1706658670
265,lintong,34.378,109.2089,-1.62,88,53,0.94,CN,1706658670
266,canyon lake,29.8752,-98.2625,20.69,50,23,1.79,US,1706658670
267,chibougamau,49.9168,-74.3659,-6.21,79,40,4.12,CA,1706658670
268,mejit,10.2753,170.8646,26.45,81,100,9.39,MH,1706658671
269,douentza,14.9951,-2.9517,20.36,16,35,2.76,ML,1706658671
270,severo-yeniseyskiy,60.3725,93.0408,-29.12,94,21,1.79,RU,1706658671
271,peace river,56.2501,-117.286,9.17,49,20,11.32,CA,1706658671
272,harstad,68.799,16.5293,3.66,97,100,12.07,NO,1706658671
273,woodmoor,39.1014,-104.8475,12.66,26,0,3.6,US,1706658517
274,gunjur,13.2019,-16.7339,24.04,60,88,1.54,GM,1706658672
275,sainte-suzanne,-20.9061,55.6089,27.1,61,100,6.17,RE,1706658672
276,nelson bay,-32.7167,152.15,27.83,76,4,5.36,AU,1706658672
277,alaghsas,17.0187,8.0168,18.68,24,86,9.2,NE,1706658673
278,gereida,11.2811,25.1414,18.73,18,93,6.12,SD,1706658673
279,kayes,14.0,-11.0,25.96,11,72,3.84,ML,1706658673
280,idri,27.5,13.2667,8.29,55,0,4.4,LY,1706658673
281,bikenibeu village,1.3673,173.1241,29.98,70,75,1.54,KI,1706658674
282,paraty,-23.2178,-44.7131,24.03,91,99,1.79,BR,1706658387
283,skovorodino,53.9833,123.9167,-27.08,98,98,1.06,RU,1706658674
284,ghazni,33.5536,68.4269,0.45,69,5,1.17,AF,1706658674
285,acajutla,13.5928,-89.8275,26.91,59,53,2.17,SV,1706658674
286,ust'-barguzin,53.45,108.9833,-31.38,95,44,2.01,RU,1706658675
287,itamaraca,-7.7478,-34.8256,28.03,71,2,4.06,BR,1706658675
288,sao felix do xingu,-6.6447,-51.995,23.45,93,55,0.68,BR,1706658675
289,chekmagush,55.1319,54.6556,-1.8,95,100,9.3,RU,1706658675
290,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,83,1.8,RU,1706658675
291,siwana,25.6333,72.4167,18.83,61,100,2.26,IN,1706658676
292,madalena,41.2162,-8.3345,13.5,86,99,1.64,PT,1706658676
293,argostolion,38.1811,20.489,9.04,65,20,6.69,GR,1706658676
294,naze,28.3667,129.4833,18.51,78,95,8.46,JP,1706658676
295,emerald,-23.5333,148.1667,26.86,87,96,2.36,AU,1706658677
296,cururupu,-1.8283,-44.8683,24.91,93,81,1.54,BR,1706658677
297,bardai,11.65,7.2333,20.03,19,59,5.72,NG,1706658677
298,dudinka,69.4058,86.1778,-17.99,84,88,9.39,RU,1706658677
299,qui nhon,13.7667,109.2333,21.06,90,55,2.3,VN,1706658677
300,kristiansund,63.1115,7.732,2.36,51,78,2.06,NO,1706658677
301,lashio,22.9333,97.75,9.9,75,100,0.64,MM,1706658678
302,tolanaro,-25.0319,46.9987,24.04,88,40,3.09,MG,1706658678
303,saipan,15.1355,145.701,26.39,69,75,6.17,MP,1706658678
304,tsiombe,-25.3,45.4833,23.38,81,92,6.81,MG,1706658678
305,naha,26.2125,127.6811,23.38,78,75,6.17,JP,1706658678
306,pitimbu,-7.4706,-34.8086,27.33,70,1,4.78,BR,1706658679
307,grande prairie,55.1667,-118.8027,7.1,53,20,8.23,CA,1706658466
308,itoman,26.1247,127.6694,23.43,78,75,6.17,JP,1706658679
309,bonthe,7.5264,-12.505,26.11,85,52,3.12,SL,1706658679
310,carutapera,-1.195,-46.02,26.3,84,95,2.98,BR,1706658680
311,santiago de cao,-7.9589,-79.2392,25.07,78,100,3.6,PE,1706658680
312,kuna,43.4918,-116.4201,15.31,66,0,3.09,US,1706658680
313,san sebastian de la gomera,28.0916,-17.1133,22.2,19,0,0.51,ES,1706658680
314,saint-pierre,-21.3393,55.4781,24.82,88,0,3.09,RE,1706658681
315,sandnessjoen,66.0217,12.6316,4.29,81,75,17.49,NO,1706658681
316,bodo,67.28,14.405,6.02,76,100,17.49,NO,1706658681
317,gamba,-2.65,10.0,26.44,89,100,1.76,GA,1706658681
318,christchurch,-43.5333,172.6333,24.74,62,20,9.77,NZ,1706658583
319,linghai,41.1653,121.3667,-13.06,75,86,5.05,CN,1706658682
320,sanya,18.2431,109.505,20.09,88,0,2.0,CN,1706658682
321,colares,38.7992,-9.4469,15.98,87,99,6.71,PT,1706658682
322,torghay,49.6339,63.4981,-14.34,96,77,2.72,KZ,1706658683
323,st. john's,47.5649,-52.7093,-4.01,80,75,7.72,CA,1706658683
324,kakching,24.4833,93.9833,4.73,79,57,0.19,IN,1706658683
325,newnham,-41.3833,147.1333,20.73,55,68,2.06,AU,1706658683
326,bairnsdale,-37.8333,147.6167,20.59,62,9,0.89,AU,1706658684
327,ellsworth,44.5434,-68.4195,-6.37,84,0,2.06,US,1706658684
328,kolokani,13.5728,-8.0339,20.84,16,73,4.39,ML,1706658684
329,yabelo,4.8833,38.0833,19.77,44,100,2.29,ET,1706658684
330,tahoua,14.8888,5.2692,19.31,19,24,6.09,NE,1706658684
331,kone,-21.0595,164.8658,28.89,64,90,0.76,NC,1706658685
332,azul,-36.777,-59.8585,30.59,21,36,2.42,AR,1706658685
333,rawson,-43.3002,-65.1023,24.6,49,1,3.17,AR,1706658685
334,san patricio,28.017,-97.5169,20.97,52,100,2.84,US,1706658686
335,linxia chengguanzhen,35.6003,103.2064,-2.77,41,100,0.63,CN,1706658686
336,mahina,-17.5065,-149.489,29.86,74,85,2.37,PF,1706658686
